Tree_ID,X,Y,Height_m,Crown_Diameter_m
232,2612108.8507370963,1266526.8998398522,284.16,3.12
233,2612310.3433638774,1266040.6582280858,284.03,2.92
234,2612302.5476779626,1266014.0078609297,284.48,2.99
235,2612271.8848608523,1266122.2595251973,283.62,5.62
236,2612391.0194375934,1266026.950677944,283.78,4.61
237,2612111.0783327245,1266533.2094482312,284.54,2.68
238,2612147.0820683567,1266549.1348313729,283.94,3.4
239,2612110.399786625,1266614.1655357017,283.78,3.35
240,2612107.7771422486,1266524.9864323582,284.47,2.36
241,2612129.319999391,1266653.7900037868,284.47,2.09
242,2612348.619999391,1266060.1298342953,283.66,4.85
243,2612219.0339124347,1266334.8404385694,283.58,6.76
244,2612112.674729121,1266613.162301084,283.68,2.43
245,2612239.1910795304,1266170.3062058773,283.82,4.78
246,2612165.654655476,1266692.5230725699,284.02,3.88
247,2612112.1533327247,1266611.3084561678,283.66,2.59
248,2612918.951656196,1267155.9249150294,284.29,3.67
249,2612365.868386488,1266059.0738747546,283.63,3.51
250,2612137.873096736,1266672.3970834329,284.05,3.0
251,2612147.0027725003,1266624.8660542069,284.3,3.08
252,2612144.6644438356,1266623.6825963794,284.2,3.28
253,2612198.335624391,1266212.5837537867,284.92,1.13
254,2612279.62357082,1266084.5525037867,284.41,2.99
255,2612919.3368705567,1267152.2354025599,284.38,3.6
256,2612209.9304645075,1266080.769073554,286.01,1.85
257,2612420.6499993913,1266052.4500037867,284.31,2.44
258,2612422.502202781,1266052.6764444648,284.32,2.17
259,2612111.4792735847,1266525.0202457223,284.36,3.14
260,2612182.3502007336,1266591.924567545,284.22,3.44
261,2612166.7765211305,1266689.8776849462,284.08,2.34
262,2612106.2559498046,1266680.5581856049,283.76,3.1
263,2612215.3427981334,1266328.3178339754,283.63,5.03
264,2612452.4143871465,1266024.9619425624,283.75,2.79
265,2612290.4357888647,1266199.4347406288,284.13,3.89
266,2612273.072756744,1266175.2933126104,283.49,4.65
267,2612135.864013476,1266674.6132432234,284.25,3.36
268,2612315.038749391,1266038.0281982312,283.97,2.39
269,2612262.302602484,1266289.314101725,283.5,5.56
270,2612167.982280093,1266662.924214313,283.61,7.97
271,2612132.025792074,1266611.6073818356,283.5,6.26
272,2612115.3595827245,1266407.7025037867,284.19,4.37
273,2612272.319999391,1266135.1150037867,284.32,1.26
274,2612110.4790903004,1266680.7059128776,284.24,1.87
275,2612107.0913172206,1266638.4996937092,284.86,3.2
276,2612142.194999391,1266607.310125738,284.39,2.55
277,2612175.0544392252,1266684.3240286831,283.68,4.38
278,2612308.353018259,1266041.8815132207,284.02,2.05
279,2612146.304374391,1266551.4431287867,284.08,1.6
280,2612540.8471733043,1266039.9111994389,283.81,2.71
281,2612338.048692573,1266073.9346060595,283.54,3.74
282,2612263.4425206375,1266188.5509103024,283.6,5.3
283,2612139.561394319,1266617.6467066852,283.5,6.63
284,2612171.6140193245,1266684.1021300326,283.78,4.89
285,2612163.9719286514,1266677.5486854587,283.4,7.04
286,2612285.430293509,1266197.0179449632,283.77,3.68
287,2612362.597777169,1266008.814077861,284.7,1.47
288,2612193.89087568,1266660.9101068794,283.75,3.93
289,2612452.6670143167,1266027.3780634883,283.87,2.31
290,2612158.871480873,1266668.067411194,283.45,7.33
291,2612217.9656828446,1266328.4198599018,283.65,3.33
292,2612118.387020668,1266540.7272378292,283.55,4.32
293,2612300.7602167823,1266014.3976124823,284.19,1.91
294,2612418.40955163,1266053.557167966,284.27,2.31
295,2612154.8746617706,1266588.479553626,283.33,4.97
296,2612192.0165586886,1266657.856768062,283.87,7.37
297,2612109.3412759867,1266680.0006420845,284.2,1.93
298,2612113.3919506106,1266642.5546379331,283.43,7.0
299,2612137.6644438356,1266604.4288926756,283.73,3.28
300,2612138.0239956737,1266683.2358216306,283.4,6.54
301,2612362.1078781793,1266006.467276514,284.42,1.62
302,2612419.1318550613,1266055.9539213125,284.13,2.78
303,2612120.011780213,1266543.8821270745,283.62,3.41
304,2612140.356666058,1266607.1566704535,284.51,2.44
305,2612728.6826056237,1266216.2591255999,283.39,5.3
306,2612112.3467851053,1266680.7995275962,283.95,2.59
307,2612117.8712042104,1266431.1616905336,283.7,2.57
308,2612146.8840237814,1266553.0631745185,283.95,2.55
309,2612279.8526597237,1266235.8516427416,283.27,5.79
310,2612208.3749993914,1266313.8920037868,283.26,6.31
311,2612239.424650554,1266151.7516316937,284.15,1.85
312,2612111.772127051,1266540.3020605242,283.76,3.35
313,2612288.626249391,1266200.7837537867,283.74,2.52
314,2612108.400881744,1266654.8944155516,285.15,2.33
315,2612123.443736765,1266427.7766199484,283.57,3.97
316,2612307.4357888647,1266040.0505301026,283.81,2.75
317,2612115.4848544635,1266432.3740617577,283.66,3.31
318,2612125.257499391,1266690.5906982312,284.38,2.39
319,2612338.3287203214,1266147.7196549496,283.92,2.62
320,2612138.2529262207,1266607.3009793966,283.73,2.55
321,2612116.1017067083,1266543.5765891527,283.43,4.04
322,2612121.83388828,1266582.7163926756,283.29,3.78
323,2612474.2969497456,1266162.8595579914,283.32,8.86
