Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
3156.0,2612424.9592682924,1266997.14097561,254.1099998474121,12.09,8.06,3.61,4.03,0.6016666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3157.0,2612522.0236170213,1266968.0480851063,255.6499997711182,10.51,7.006667,6.7,3.5033336,1.1166666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3158.0,2612636.1881395346,1266969.033488372,258.7499998855591,7.38,4.92,3.7,2.46,0.6166666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3159.0,2613453.3594117644,1266694.7741176472,256.48999965667724,9.64,6.426667,5.2,3.2133336,0.8666666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3160.0,2612451.611617647,1266987.1057352943,254.26000034332276,11.86,7.9066668,6.58,3.9533334,1.0966666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3161.0,2613477.4972316385,1266586.0715254238,256.96999961853027,9.1,6.066667,7.51,3.0333335,1.2516666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3162.0,2613448.140752688,1266692.1283870968,255.89000030517576,10.07,6.713333,5.44,3.3566666,0.9066666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3163.0,2613478.966734694,1266619.467755102,257.09000034332274,8.86,5.9066668,5.59,2.9533334,0.9316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3164.0,2613384.587865168,1266734.366516854,255.5899997711182,10.26,6.84,7.53,3.42,1.255,42.0,49.0,46.0,139.0,69.0,19.0
3165.0,2613471.5075510205,1266684.83,257.07000022888184,8.74,5.826667,5.59,2.9133334,0.9316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3166.0,2613249.60368421,1266912.343157895,255.00000019073485,10.7,7.133333,4.26,3.5666666,0.71,42.0,49.0,46.0,139.0,69.0,19.0
3167.0,2613465.339090909,1266579.761818182,256.79999965667724,8.89,5.926667,4.18,2.9633336,0.6966666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3168.0,2613407.7523404253,1266697.4151063832,256.1999997329712,9.47,6.3133335,7.74,3.1566668,1.29,42.0,49.0,46.0,139.0,69.0,19.0
3169.0,2613481.766752137,1266679.973162393,257.2599996566772,8.39,5.5933337,6.1,2.7966669,1.0166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3170.0,2613416.4448148147,1266713.8114814817,255.77000034332275,9.86,6.5733333,5.86,3.2866666,0.9766666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3171.0,2613473.836730769,1266669.690576923,257.119999961853,8.46,5.6400003,5.75,2.8200002,0.9583333333333333,42.0,49.0,46.0,139.0,69.0,19.0
