Tree_ID,X,Y,Z,Crown_Diameter_m
269.0,2612704.992068965,1266091.907586207,282.17,4.3
270.0,2612776.2855555555,1266042.1800000002,282.17,5.35
271.0,2612784.346535433,1266079.1036220472,282.14,6.36
272.0,2612183.541764706,1266373.557124183,282.12,6.98
273.0,2612349.555,1266116.955,282.12,3.57
274.0,2612380.611308411,1266191.103364486,282.12,5.84
275.0,2612236.106190476,1266204.9609523811,282.11,2.59
276.0,2612503.7514285715,1266149.0907142858,282.09,6.68
277.0,2612662.2485897434,1266033.140897436,282.09,7.05
278.0,2612732.4514285717,1266061.08,282.09,2.99
279.0,2612791.03,1266042.23,282.08,3.09
280.0,2613356.697251462,1266098.6355555556,282.07,7.38
281.0,2612221.78625,1266215.4654166668,282.06,3.91
282.0,2612687.5194009217,1266064.7297695854,282.04,8.31
283.0,2612973.283526971,1266284.704481328,282.03,8.76
284.0,2612716.0787179484,1266095.6056410258,282.02,3.52
285.0,2612718.1469491525,1266097.3045762712,282.02,6.13
286.0,2612755.350338983,1266087.732542373,282.02,4.33
287.0,2612128.13,1266271.33,282.01,3.48
288.0,2612185.03625,1266243.3534375,282.01,4.51
289.0,2612639.8591666664,1266019.663333333,282.01,2.76
290.0,2612939.493888889,1266296.5577777778,282.01,7.57
291.0,2612121.1517391303,1266414.1089855074,281.99,4.69
292.0,2612309.49440678,1266410.9867796612,281.99,7.51
293.0,2612328.3064705883,1266131.33,281.99,4.65
294.0,2612792.5675,1266083.8221875,281.99,9.03
295.0,2612222.4448148147,1266243.0337037037,281.98,4.15
296.0,2612282.38,1266367.175890411,281.98,6.82
297.0,2612442.2250920245,1266585.8315337424,281.98,7.2
298.0,2612140.466842105,1266482.4431578948,281.97,7.78
299.0,2612223.4845454544,1266271.589090909,281.96,4.18
300.0,2612406.323877551,1266072.7330612245,281.96,3.95
301.0,2612107.53625,1266302.23625,281.95,3.19
302.0,2612114.4810638297,1266282.5480851063,281.95,3.87
303.0,2612404.148181818,1266171.38,281.94,5.92
304.0,2612746.586692913,1266096.0642519686,281.94,6.36
305.0,2612123.225238095,1266293.972857143,281.93,3.66
306.0,2612169.1135164835,1266318.4041758245,281.93,5.38
307.0,2612721.986343284,1266091.497910448,282.56,9.24
308.0,2612873.5388541664,1266218.608645833,281.93,7.82
309.0,2613324.764765625,1266298.593671875,281.93,9.03
310.0,2612143.0845454545,1266413.5027272727,281.92,5.92
311.0,2613112.0682978723,1266149.5417021278,281.92,8.65
312.0,2613327.9693939392,1266199.3042424242,281.91,10.25
313.0,2613389.75051282,1266280.3441025645,281.91,7.88
314.0,2612183.2995402296,1266406.83,281.9,7.44
315.0,2612855.55481203,1266072.4897744362,281.9,6.51
316.0,2612740.083333333,1266016.1066666667,281.89,4.89
317.0,2612713.041149826,1266052.7489895471,281.88,9.56
318.0,2612720.426511628,1266022.702093023,281.88,5.23
319.0,2612679.000813397,1266088.5058373206,281.87,8.16
320.0,2612509.419473684,1266157.267134503,281.86,7.38
321.0,2612738.4841666664,1266011.757083333,281.86,3.91
322.0,2612683.71,1266052.525,281.85,5.64
323.0,2612723.899230769,1266059.8876923078,281.85,2.88
324.0,2612802.876794872,1266086.721025641,281.82,7.05
325.0,2612378.865294117,1266092.903529412,281.8,2.33
326.0,2612193.425918367,1266237.549387755,281.79,3.95
327.0,2612133.4931840794,1266513.6421890547,281.78,8.0
328.0,2612771.3345454545,1266062.3527272728,281.78,2.65
329.0,2612193.185263158,1266367.0826315791,281.77,7.78
330.0,2612770.342389381,1266081.6153982305,281.77,6.0
331.0,2612677.63,1266022.4534177217,281.76,5.01
332.0,2612726.0647826088,1266104.1918012423,281.76,7.16
333.0,2612776.299753086,1266050.4380246915,281.76,7.18
334.0,2612103.3464179104,1266265.6098507463,281.83,4.62
335.0,2612664.467121212,1266054.008030303,281.75,6.48
336.0,2612714.9448148147,1266079.218888889,281.74,4.15
337.0,2612393.9966666666,1266180.86,281.73,6.91
338.0,2612679.2484210525,1266039.3168421052,281.73,6.96
339.0,2612735.580980392,1266046.173137255,281.72,5.7
340.0,2612751.399230769,1266059.9646153846,281.72,2.03
341.0,2612749.390330578,1266063.7990082644,281.71,6.21
342.0,2612135.4958536583,1266283.5190243905,281.7,3.61
343.0,2612259.69,1266234.6666666667,281.7,4.89
344.0,2612637.0093103447,1266014.2179310345,281.7,3.04
345.0,2612114.435970149,1266267.2964179106,281.69,4.62
346.0,2612262.898115942,1266379.5981159422,281.69,6.63
347.0,2612194.143043478,1266387.184347826,281.68,6.05
348.0,2612915.3327027024,1266224.7286486488,281.68,4.85
349.0,2612690.277651007,1266035.392080537,281.67,6.89
350.0,2612969.28037594,1266310.519849624,281.67,6.51
351.0,2612117.806100629,1266538.0013836478,281.66,7.11
352.0,2612658.969901478,1266084.089852217,281.66,8.04
353.0,2612857.63,1266067.605,281.66,3.57
354.0,2612653.298316832,1266004.1493069308,281.65,5.67
355.0,2612619.815314685,1266010.6394405595,281.63,6.75
356.0,2612752.565483871,1266098.4025806452,281.63,3.14
357.0,2612816.924117647,1266092.978395722,281.62,7.72
358.0,2613027.4788372093,1266298.688527132,281.62,6.41
359.0,2612872.2329411763,1266182.499117647,281.61,4.65
360.0,2612463.1444927533,1266686.855362319,281.6,6.63
361.0,2612502.2635877864,1266161.1677862597,281.6,6.46
362.0,2613013.642820513,1266177.0351282053,281.6,7.05
363.0,2612359.024927536,1266337.4857971016,281.57,6.63
364.0,2612728.4135820894,1266058.4158208957,281.56,4.62
365.0,2612385.06939394,1266145.5875757576,281.55,4.58
366.0,2613023.860994152,1266180.796374269,281.55,7.38
367.0,2612270.7462790697,1266376.4094573644,281.53,6.41
368.0,2612790.7758333334,1266010.725833333,281.52,2.76
369.0,2613377.8070833334,1266279.4202777778,281.52,6.77
370.0,2612182.3287179484,1266381.3364102566,281.51,4.98
371.0,2612222.0574193546,1266251.0235483872,281.51,4.44
372.0,2612663.4008333334,1266066.6784848485,281.51,9.17
373.0,2613039.852222222,1266216.6425,281.51,6.77
374.0,2612122.158301886,1266276.3252830189,281.5,4.11
375.0,2612689.518888889,1266094.4661111112,281.5,7.57
376.0,2612728.5894594598,1266024.2016216216,281.5,3.43
377.0,2612895.916516854,1266052.7035955058,281.5,7.53
378.0,2612181.8089473685,1266440.2273684212,281.49,5.5
379.0,2612907.086081081,1266075.0631081082,281.49,6.86
380.0,2612334.9033333333,1266320.0,281.48,4.89
381.0,2612862.626212121,1266070.3603030303,281.48,6.48
382.0,2612320.38257732,1266319.2501030928,281.47,5.56
383.0,2612389.67375,1266151.33,281.47,5.05
384.0,2612754.4175,1266044.43625,281.47,7.14
385.0,2613017.4032240435,1266184.5444808744,281.47,7.63
386.0,2612488.7107453416,1266146.536521739,281.45,7.16
387.0,2612817.6723728813,1266052.4020338985,281.44,7.51
388.0,2612175.5683561643,1266398.9361643835,281.43,6.82
389.0,2612134.021608392,1266428.5135664337,281.41,6.75
390.0,2612165.977560976,1266429.348292683,281.41,5.11
391.0,2612493.820677966,1266139.7791525424,281.41,6.13
392.0,2612966.99038961,1266270.9274025974,281.4,7.0
393.0,2612369.2966666664,1266099.441111111,281.39,3.39
394.0,2612703.513333333,1266012.413333333,281.39,5.35
395.0,2613337.1776190475,1266202.654404762,281.39,7.31
396.0,2612792.949620253,1266108.2730379747,281.38,7.09
397.0,2612873.826774193,1266057.2348387097,281.38,7.02
398.0,2612222.5768085103,1266258.58,281.37,3.87
399.0,2612720.03,1266080.905,281.36,3.57
400.0,2612833.1561437906,1266063.8937254902,281.38,6.98
401.0,2612930.465897436,1266264.4825641026,281.34,7.88
402.0,2612143.13,1266278.413333333,281.33,2.76
403.0,2612370.15739726,1266346.9841095891,281.33,4.82
404.0,2612526.097948718,1266170.6537179488,281.33,7.05
405.0,2612930.280837989,1266309.9570949725,281.33,7.55
406.0,2612129.959931973,1266543.3282993198,281.32,6.84
407.0,2612400.5466666664,1266165.295909091,281.32,6.48
408.0,2612702.6622580644,1266072.3649462366,281.31,5.44
409.0,2612740.2919318182,1266055.378295455,281.31,7.48
410.0,2612172.693492064,1266382.853809524,281.3,6.33
411.0,2612699.5858823527,1266038.3079411765,281.3,6.58
412.0,2612108.2239849623,1266428.4822556393,281.29,6.51
413.0,2612935.132475248,1266255.877029703,281.29,8.02
414.0,2612199.505,1266398.8925,281.28,2.26
415.0,2612427.502483221,1266199.8417449666,281.27,6.89
416.0,2612701.8902040813,1266004.610612245,281.27,5.59
417.0,2612509.279425287,1266170.6891954024,281.26,5.26
418.0,2612545.0675,1266012.84875,281.24,5.05
419.0,2612421.38,1266192.288955224,281.23,6.53
420.0,2612658.8373170733,1266059.9336585368,281.23,5.11
421.0,2612785.2992307693,1266378.1671794872,281.23,7.88
422.0,2612173.9863829785,1266434.3565957448,281.22,5.47
423.0,2612399.6103149606,1266175.391023622,281.22,6.36
424.0,2612695.732739726,1266089.1416438357,281.22,4.82
425.0,2612707.753076923,1266058.3723076924,281.22,4.55
426.0,2612881.81457944,1266078.3790654207,281.22,8.25
427.0,2612285.1953266333,1266394.147839196,281.21,7.96
428.0,2612342.95278481,1266337.8711392407,281.21,5.01
429.0,2612135.7022891566,1266423.3872289157,281.19,5.14
430.0,2612676.273884892,1266060.5979856115,281.19,6.65
431.0,2612789.6137398374,1266096.45398374,281.18,6.26
432.0,2612240.5678378376,1266787.6286486487,281.17,7.67
433.0,2612288.6132402234,1266416.2168715084,281.17,7.55
434.0,2612714.2513768114,1266105.186884058,281.17,9.37
435.0,2612147.0082894736,1266464.9385526318,281.15,6.96
436.0,2612164.0560869565,1266390.7713043478,281.15,6.05
437.0,2612120.676052632,1266399.0339473684,281.14,4.92
438.0,2612672.468235294,1266013.33,281.14,4.65
439.0,2613143.705342465,1266162.1964383563,281.14,6.82
440.0,2612157.9166666665,1266424.2733333334,281.13,4.89
441.0,2612883.492068965,1266202.867356322,281.11,5.26
442.0,2612191.928561151,1266401.6087769784,281.1,6.65
443.0,2612449.7784848483,1266227.6496969697,281.1,7.25
444.0,2612813.5394827584,1266255.1231034484,281.1,6.08
445.0,2612431.7830612245,1266592.1896938777,281.09,7.9
446.0,2612900.6085276078,1266072.043190184,281.09,7.2
447.0,2612956.5462011173,1266311.7755307264,281.09,7.55
448.0,2612756.65892562,1266113.58,281.07,6.21
449.0,2612801.921891892,1266465.9772972974,281.06,7.67
450.0,2612912.219041096,1266247.860821918,281.06,4.82
451.0,2612703.0883333334,1266030.6425,281.05,2.76
452.0,2612517.050289855,1266164.4386956522,281.04,6.63
453.0,2612359.869393939,1266354.4557575758,281.01,7.25
454.0,2612781.163783784,1266097.0867567568,280.99,4.85
455.0,2612847.7586764703,1266064.686617647,280.98,6.58
456.0,2612352.044893617,1266339.2342553192,280.97,5.47
457.0,2612721.860769231,1266063.003076923,280.97,2.88
458.0,2612913.9793975903,1266076.3330120482,280.95,5.14
459.0,2612124.1164864865,1266258.120540541,280.94,4.85
460.0,2612151.8157142857,1266434.3871428573,280.94,4.72
461.0,2612898.017640449,1266040.58,280.94,5.32
462.0,2612185.9975213674,1266392.8962393163,280.93,6.1
463.0,2612708.881798561,1266065.3569784174,280.93,6.65
464.0,2612683.6994444444,1266075.9619444446,280.92,4.79
465.0,2612721.000967742,1266054.7950537635,280.92,5.44
466.0,2612337.3853191487,1266305.1544680852,280.91,5.47
467.0,2612759.563333333,1266046.8133333337,280.91,2.19
468.0,2612651.88,1266020.58,280.9,3.09
469.0,2612851.0354054053,1266066.802972973,280.9,4.85
470.0,2612894.7225925927,1266042.894814815,280.88,5.08
